ColumnName,Category,CategoryName
empi,demographic,Result
tel2,demographic,Result
tel3,demographic,Result
tel4,demographic,Result
ssa1,demographic,Result
ssa2,demographic,Result
sci,demographic,Result
sct,demographic,Result
sctn,demographic,Result
sst,demographic,Result
sstn,demographic,Result
scy,demographic,Result
sz,demographic,Result
race,demographic,Result
fn,demographic,Result
mn,demographic,Result
ln,demographic,Result
orec,demographic,Result
byind,demographic,Result
pl,demographic,Result
bfmdst,demographic,Result
bfsdcd,demographic,Result
hpstdt,demographic,Result
hpenddt,demographic,Result
rel,demographic,Result
mbi,demographic,Result
dob,demographic,Result
gn,demographic,Result
dod,demographic,Result
id,demographic,Result
idt,demographic,Result
ssn4,demographic,Result
ssn,demographic,Result
eml1,demographic,Result
cell1,demographic,Result
tel1,demographic,Result
psa1,demographic,Result
psa2,demographic,Result
pci,demographic,Result
pct,demographic,Result
pctn,demographic,Result
pst,demographic,Result
pstn,demographic,Result
pcy,demographic,Result
pz,demographic,Result
ethn,demographic,Result
df,demographic,Result
ms,demographic,Result
sid,demographic,Result
pstp,demographic,Result
racen,demographic,Result
ethnm,demographic,Result
msn,demographic,Result
pcpn,demographic,Result
pcpslid,demographic,Result
pcpsln,demographic,Result
pcpfdt,demographic,Result
pcpldt,demographic,Result
pcpidt,demographic,Result
pcpslidt,demographic,Result
pcpid,demographic,Result
pthcno,demographic,Result
bedpa,demographic,Result
bedpb,demographic,Result
eid,encounter,Result
efdt,encounter,Result
er,encounter,Result
es,encounter,Result
drdn,encounter,Result
stn,encounter,Result
sln,encounter,Result
vif,encounter,Result
et,encounter,Result
atc,encounter,Result
raid,encounter,Result
adsc,encounter,Result
eldt,encounter,Result
drdc,encounter,Result
drtl,encounter,Result
fc,encounter,Result
stc,encounter,Result
slc,encounter,Result
adt,encounter,Result
drdt,encounter,Result
adsrn,encounter,Result
ptt,encounter,Result
inpid,insurance,Result
incid,insurance,Result
inpn,insurance,Result
inptp,insurance,Result
incn,insurance,Result
ingno,insurance,Result
inorgn,insurance,Result
inpt,insurance,Result
infn,insurance,Result
inln,insurance,Result
inmn,insurance,Result
inpr,insurance,Result
indob,insurance,Result
inprsq,insurance,Result
ptsid,insurance,Result
ptsrn,insurance,Result
inpcs,insurance,Result
ingerid,insurance,Result
ingen,insurance,Result
inpfdt,insurance,Result
inpldt,insurance,Result
prs,insurance,Result
prt,insurance,Result
ptsgn,insurance,Result
cms,notesandcomments,Result
cmd,notesandcomments,Result
cmt,notesandcomments,Result
pbn,problem,Result
pbfdt,problem,Result
pbrdt,problem,Result
pbldt,problem,Result
pbc,problem,Result
pbcs,problem,Result
pbst,problem,Result
pbtp,problem,Result
pbtpc,problem,Result
acoid,provider,Result
acon,provider,Result
adpid,provider,Result
adpidt,provider,Result
adpn,provider,Result
adpnpi,provider,Result
adps,provider,Result
adpsc,provider,Result
atpid,provider,Result
atpidt,provider,Result
atpnpi,provider,Result
atps,provider,Result
atpsc,provider,Result
cpid,provider,Result
cpidt,provider,Result
cpn,provider,Result
cpnpi,provider,Result
cps,provider,Result
cpsc,provider,Result
ftccn,provider,Result
ftci,provider,Result
ftid,provider,Result
ftidt,provider,Result
ftn,provider,Result
ftnpi,provider,Result
ftsa1,provider,Result
ftsa2,provider,Result
ftsp,provider,Result
ftspcd,provider,Result
ftst,provider,Result
ftstn,provider,Result
ftz,provider,Result
opid,provider,Result
opidt,provider,Result
opn,provider,Result
opnpi,provider,Result
opsc,provider,Result
opsn,provider,Result
orgid,provider,Result
orgn,provider,Result
orgrid,provider,Result
orgrn,provider,Result
orgtin,provider,Result
otpid,provider,Result
otpidt,provider,Result
otpn,provider,Result
otpnpi,provider,Result
otps,provider,Result
otpsc,provider,Result
rpid,provider,Result
rpidt,provider,Result
rpn,provider,Result
rpnpi,provider,Result
rps,provider,Result
rpsc,provider,Result
spidt,provider,Result
spn,provider,Result
spid,provider,Result
sps,provider,Result
spsc,provider,Result
spnpi,provider,Result
prvid,provider,Result
obf,result,Result
rn,result,Result
natc,result,Result
rredt,result,Result
rc,result,Result
rcs,result,Result
rv,result,Result
sru,result,Result
onrr,result,Result
rrh,result,Result
rrl,result,Result
oac,result,Result
rdt,result,Result
rhv,result,Result
rlv,result,Result
uru,result,Result
rid,result,Result
raoid,result,Result
raoc,result,Result
sno,rowkey,Result
st,source,Result
sstp,source,Result
rcdt,source,Result
meunm,source,Result
metmstp,source,Result
medt,source,Result
mefn,source,Result
meln,source,Result
meuid,source,Result
menote,source,Result
ingdt,source,Result
pipid,source,Result
sfn,source,Result
